Selling Report jan/21/2026,,,,,Total,Rp 416.500
№,Date,Time,Username,Profile,Comment,Price
222,jan/21/2026,18:53:57,TG794235,7jam,vc-901-01.12.26-12012026,1700
223,jan/21/2026,18:59:15,MA252426,7jam,vc-866-01.15.26-15012026,1700
224,jan/21/2026,19:00:35,TG263949,7jam,vc-628-01.12.26-12012026mangade,1700
225,jan/21/2026,19:01:50,3442939,7jam,vc-561-01.05.26-06122025,1700
226,jan/21/2026,19:04:27,MA265899,7jam,vc-866-01.15.26-15012026,1700
227,jan/21/2026,19:05:17,MB258774,7jam,vc-264-01.18.26-18012026,1700
228,jan/21/2026,19:07:22,935583547,7jam,vc-148-01.15.26-15012026,1700
229,jan/21/2026,19:07:43,978773365,7jam,vc-148-01.15.26-15012026,1700
230,jan/21/2026,19:08:03,MA257229,7jam,vc-866-01.15.26-15012026,1700
231,jan/21/2026,19:09:06,MB478994,7jam,vc-264-01.18.26-18012026,1700
232,jan/21/2026,19:09:54,MA63586663,7jam,vc-453-01.15.26-15012026,1700
233,jan/21/2026,19:10:01,MA768689,7jam,vc-866-01.15.26-15012026,1700
234,jan/21/2026,19:10:08,MB335392,7jam,vc-264-01.18.26-18012026,1700
235,jan/21/2026,19:12:31,TH845223,7jam,vc-957-01.20.26-20012026mangade,1700
236,jan/21/2026,19:13:34,966973858,7jam,vc-148-01.15.26-15012026,1700
237,jan/21/2026,19:15:13,TH952294,7jam,vc-957-01.20.26-20012026mangade,1700
238,jan/21/2026,19:16:46,MB562962,7jam,vc-264-01.18.26-18012026,1700
239,jan/21/2026,19:16:48,MA585997,7jam,vc-866-01.15.26-15012026,1700
240,jan/21/2026,19:21:49,LQ289328,7jam,vc-880-01.04.26-04012026cbs,1700
241,jan/21/2026,19:23:45,MB749682,7jam,vc-264-01.18.26-18012026,1700
242,jan/21/2026,19:23:57,MB454774,7jam,vc-264-01.18.26-18012026,1700
243,jan/21/2026,19:24:36,MA546533,7jam,vc-866-01.15.26-15012026,1700
244,jan/21/2026,19:27:36,TG824727,7jam,vc-628-01.12.26-12012026mangade,1700
245,jan/21/2026,19:28:53,942868793,7jam,vc-148-01.15.26-15012026,1700
